Name,rotor,hub_height,age,power
SWT-2.3-108,54,78.3,5,2.3
SWT-2.3-113,56.5,99.5,5,2.3
SWT-2.3-120,60,80,1,2.3
SWT-2.3-82 VS,41.2,58.5,12,2.3
SWT-2.3-93,46.5,80,11,2.3
SWT-2.5-120,60,85.1,0,2.5
SWT-3.0-101,50.5,74.5,5,3
SWT-3.3-130,65,85,2,3.3
SWT-3.6-107,53.5,80,11,3.6
SWT-3.6-120,60,90,6,3.6
NEWECS-25,13.25,22,31,0.3
NEWECS-45,22.5,60,28,1
Subaru 40,11,24,17,0.1
Subaru 80/2.0,40,62,11,2
S46/600,23,51.5,19,0.6
S111/2100,55.9,90,1,2.1
S52/600,26,75,10,0.6
S66/1250,33,56,14,1.25
S82/1500,41,82,10,1.5
S88/2100,44,79,1,2.1
S95/2100,47.5,80,5,2.1
S97/2100,48.5,90,5,2.1
BTW 2.0,46.5,80,5,2
U88E,44,80,0,2
UE 1.65 70 IA,35.2,70,0,1.65
UE 1.65 77 IIA,38.5,70,0,1.65
UE 1.65 82 IIIA,41.45,70,0,1.65
UE 1.65 82 IIIB,41.2,70,0,1.65
UE 1.65 86 IIIA,43.35,80,0,1.65
UE 1.65 89 IVA,44.2,80,0,1.65
62,31,69,11,1.2
64,32,85,11,1.2
70,35,65,10,1.5
77,38.4,61.5,9,1.5
82,41.15,58,8,1.5
90,45,80,6,2.5
100,49.9,100,7,2.5
V20 100,10,30.5,25,0.1
GEV 26/220,13,50,17,0.22
GEV HP 1000/55,27.5,60,8,1
GEV HP 1000/58,29,60,8,1
GEV HP 1000/62,31,60,8,1
GEV MP 250/32,16,55,12,0.25
GEV MP 275/32,16,55,12,0.275
V110/2000,55,80,3,2
V112/3000,56,84,7,3
V112/3075,56,84,1,3.075
V112/3300,56,84,3,3.3
V112/3450,56,69,1,3.45
V117/3300,58.5,91.5,3,3.3
V117/3450,58.5,91.5,0,3.45
V126/3300,63,117,3,3.3
V126/3450,63,87,1,3.45
V136/3450,68,112,1,3.45
V20/100,10,24,29,0.1
V25/200,12.5,30,28,0.2
V27/225,13.5,33.5,27,0.225
V29/225,14.5,31.5,21,0.225
V39/500,19.5,40,25,0.5
V44/600,22,40,21,0.6
V47/660,23.5,40,19,0.66
V52/850,26,40,16,0.85
V63/1500,31.8,60,21,1.5
V66/1750,33,60,17,1.75
V80/2000,40,60,16,2
V82/1650,41,59,13,1.65
V90/2000,45,80,12,2
V90/3000,45,65,14,3
V90/3000 Offshore,45,84,8,3
W2E-93/2.0,46.6,70,5,2.05
WEG MS-3,16.5,25,28,0.3
WEG MS-4,20.5,40,19,0.6
WES100,8.95,18,33,0.1
WES250,15,30,22,0.25
Gamma 60,30,61,24,1.5
Windflow 45-500,22.5,31.5,0,0.5
F45,22.5,63,19,0.75
Floda 600,22.9,40,26,0.6
WWD-1-64,32,56,15,1
WWD-3-100,50,80,12,3
WWD-3-90,45,80,12,3
E101/3050,50.5,99,4,3.05
E82/2350,41,78,0,2.35
M-24,12,23,0,0.1
XD115-5000,57.5,80,0,5
